date,title,trail_text,source,section,url,query,sentiment_text,news_vader_compound,news_vader_pos,news_vader_neu,news_vader_neg,news_sentiment_label
2017-06-01,Barnaby Joyce likens Abbott's comments to linking 'testicles and terrorism' – as it happened,"Question time dominated by tax rate ‘fairness’ debate, Greens refer allegations donations made to Pauline Hanson’s personal bank account for investigation and Coalition leaders respond to Abbott’s comments about Islam and terrorism",The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2017/jun/01/pauline-hanson-received-donations-to-personal-bank-account-politics-live,"""Commonwealth Bank""","Barnaby Joyce likens Abbott's comments to linking 'testicles and terrorism' – as it happened Question time dominated by tax rate ‘fairness’ debate, Greens refer allegations donations made to Pauline Hanson’s personal bank account for investigation and Coalition leaders respond to Abbott’s comments about Islam and terrorism",-0.8807,0.0,0.827,0.173,negative
2017-06-03,Australia's too-big-to-fail banks cry crocodile tears over bank levy,The government’s planned tax is not a hit to the stability of either the economy or the financial system,The Guardian,Business,https://www.theguardian.com/business/grogonomics/2017/jun/04/australias-too-big-to-fail-banks-cry-crocodile-tears-over-bank-levy,"""Commonwealth Bank""",Australia's too-big-to-fail banks cry crocodile tears over bank levy The government’s planned tax is not a hit to the stability of either the economy or the financial system,-0.6124,0.0,0.839,0.161,negative
2017-06-07,Australia records 103rd successive quarter of recession-free economy,The latest quarterly growth figures mean that Australia will enjoy 26 years of continuous growth,The Guardian,Business,https://www.theguardian.com/business/2017/jun/07/australia-sets-new-world-record-for-recession-free-economy,"""Commonwealth Bank""",Australia records 103rd successive quarter of recession-free economy The latest quarterly growth figures mean that Australia will enjoy 26 years of continuous growth,0.8591,0.356,0.644,0.0,positive
2017-06-07,"Santander rescues Spain's failing Banco Popular, oil prices slide - as it happened","All the day’s economic and financial news, including a bank rescue in Spain, the OECD’s latest economic outlook and a surprise jump in US crude stocks",The Guardian,Business,https://www.theguardian.com/business/live/2017/jun/07/santander-banco-popular-rescue-oecd-growth-forecasts-business-live,"""Commonwealth Bank""","Santander rescues Spain's failing Banco Popular, oil prices slide - as it happened All the day’s economic and financial news, including a bank rescue in Spain, the OECD’s latest economic outlook and a surprise jump in US crude stocks",0.3612,0.208,0.653,0.139,positive
2017-06-09,Mortgage lending slows in wake of crackdown on interest-only loans,"Housing finance fell overall 1.6% in April, figures show, with a 2.3% reduction in borrowing by investors",The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/jun/09/mortgage-lending-slows-in-wake-of-crackdown-on-interest-only-loans,"""Commonwealth Bank""","Mortgage lending slows in wake of crackdown on interest-only loans Housing finance fell overall 1.6% in April, figures show, with a 2.3% reduction in borrowing by investors",0.0,0.0,1.0,0.0,neutral
2017-06-13,Ten's future in doubt after Lachlan Murdoch and Bruce Gordon refuse to guarantee debt,Shares in Ten placed in trading halt after billionaire shareholders decide not to support a new funding deal ,The Guardian,Media,https://www.theguardian.com/media/2017/jun/13/tens-future-in-doubt-after-lachlan-murdoch-and-bruce-gordon-refuse-to-guarantee-debt,"""Commonwealth Bank""",Ten's future in doubt after Lachlan Murdoch and Bruce Gordon refuse to guarantee debt Shares in Ten placed in trading halt after billionaire shareholders decide not to support a new funding deal ,-0.6437,0.106,0.656,0.238,negative
2017-06-18,‘I just needed a chance': from refugee to the heights of Australian medical research,"After fleeing Vietnam by boat in 1981, a dishwashing job at St Vincent’s hospital was Tuan Nguyen’s lucky break",The Guardian,Society,https://www.theguardian.com/society/2017/jun/19/i-just-needed-a-chance-from-refugee-to-the-heights-of-australian-medicine,"""Commonwealth Bank""","‘I just needed a chance': from refugee to the heights of Australian medical research After fleeing Vietnam by boat in 1981, a dishwashing job at St Vincent’s hospital was Tuan Nguyen’s lucky break",0.5859,0.134,0.866,0.0,positive
2017-06-20,"10 years after the intervention, it’s time to admit it has destroyed Aboriginal communities",A decade of punitive government attention has brought a loss of knowledge and authority that is keenly felt in remote communities,The Guardian,Opinion,https://www.theguardian.com/commentisfree/2017/jun/21/10-year-after-the-intervention-its-time-to-admit-it-has-destroyed-aboriginal-communities,"""Commonwealth Bank""","10 years after the intervention, it’s time to admit it has destroyed Aboriginal communities A decade of punitive government attention has brought a loss of knowledge and authority that is keenly felt in remote communities",-0.6908,0.119,0.676,0.205,negative
2017-06-21,Global banks reduce lending to dirtiest fossil fuel companies by billions in 2016,"World’s largest banks lent $87bn to oil, coal and LNG companies in 2016 – a 22% drop from a collective $111bn worth of lending in 2015",The Guardian,Environment,https://www.theguardian.com/environment/2017/jun/21/global-banks-reduce-lending-to-dirtiest-fossil-fuel-companies-by-billions-in-2016,"""Commonwealth Bank""","Global banks reduce lending to dirtiest fossil fuel companies by billions in 2016 World’s largest banks lent $87bn to oil, coal and LNG companies in 2016 – a 22% drop from a collective $111bn worth of lending in 2015",-0.5574,0.044,0.829,0.127,negative
2017-06-23,South Australia's bank levy plan attacked as an 'outrageous cash grab',"Australian Bankers’ Association CEO Anna Bligh condemns $370m levy, saying ‘it is not the job of banks to prop up government budget shortfalls’",The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/jun/23/south-australias-bank-levy-plan-an-outrageous-cash-grab-say-business-groups,"""Commonwealth Bank""","South Australia's bank levy plan attacked as an 'outrageous cash grab' Australian Bankers’ Association CEO Anna Bligh condemns $370m levy, saying ‘it is not the job of banks to prop up government budget shortfalls’",-0.8519,0.0,0.769,0.231,negative
2017-06-26,Channel Ten's billionaire shareholders to prop up network until new owner found,"Lachlan Murdoch, Bruce Gordon and James Packer will provide funds to keep network on air, administrators say",The Guardian,Media,https://www.theguardian.com/media/2017/jun/27/channel-tens-billionaire-shareholders-to-prop-up-network-until-new-owner-found,"""Commonwealth Bank""","Channel Ten's billionaire shareholders to prop up network until new owner found Lachlan Murdoch, Bruce Gordon and James Packer will provide funds to keep network on air, administrators say",0.0,0.0,1.0,0.0,neutral
2017-06-28,Agency ruling on federal loan to Adani cites cyberbullying as reason for secrecy,Northern Australia Infrastructure Facility denies freedom of information request for details of board meetings because of media attention and protests,The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/jun/28/agency-ruling-on-federal-loan-to-adani-cites-cyberbullying-as-reason-for-secrecy,"""Commonwealth Bank""",Agency ruling on federal loan to Adani cites cyberbullying as reason for secrecy Northern Australia Infrastructure Facility denies freedom of information request for details of board meetings because of media attention and protests,0.128,0.108,0.771,0.121,positive
2017-07-04,Inside the darknet: where Australians buy and sell illegal goods,"A vendor was offering Medicare details of any Australian. Could this be real, or was it just a scam? The only way to know was to request some data",The Guardian,Technology,https://www.theguardian.com/technology/2017/jul/04/inside-the-darknet-where-australians-buy-and-sell-illegal-goods,"""Commonwealth Bank""","Inside the darknet: where Australians buy and sell illegal goods A vendor was offering Medicare details of any Australian. Could this be real, or was it just a scam? The only way to know was to request some data",-0.8074,0.0,0.835,0.165,negative
2017-07-11,Sponsors dragged into pay dispute as Australian players pursue rival deals,Cricket Australia’s corporate partners have joined the ranks of aggrieved parties as a result of the cricket pay dispute,The Guardian,Sport,https://www.theguardian.com/sport/2017/jul/11/sponsors-dragged-into-cricket-pay-dispute-as-standoff-sparks-ambush,"""Commonwealth Bank""",Sponsors dragged into pay dispute as Australian players pursue rival deals Cricket Australia’s corporate partners have joined the ranks of aggrieved parties as a result of the cricket pay dispute,-0.5719,0.075,0.665,0.26,negative
2017-07-19,"Risks of UK recession 'are increasing', as Glaxo cuts 320 jobs - as it happened","All the day’s economic and financial news, including new eurozone construction and US housing data",The Guardian,Business,https://www.theguardian.com/business/live/2017/jul/19/stock-markets-highs-investors-central-banks-construction-housing-oil-business-live,"""Commonwealth Bank""","Risks of UK recession 'are increasing', as Glaxo cuts 320 jobs - as it happened All the day’s economic and financial news, including new eurozone construction and US housing data",-0.7269,0.0,0.792,0.208,negative
2017-07-21,Labour blasts 'failing' government after UK deficit jumps in June – as it happened,"All the day’s economic and financial news, including coverage of the latest UK public finances",The Guardian,Business,https://www.theguardian.com/business/live/2017/jul/21/euro-two-year-high-city-uk-public-finances-pound-ftse-business-live,"""Commonwealth Bank""","Labour blasts 'failing' government after UK deficit jumps in June – as it happened All the day’s economic and financial news, including coverage of the latest UK public finances",-0.7184,0.0,0.818,0.182,negative
2017-07-28,Commonwealth Bank's new Eftpos system makes blind people reveal pin,Disability advocates say the touchscreen terminal is difficult to be accessed by the blind or visually-impaired,The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/jul/28/commonwealth-banks-new-eftpos-system-makes-blind-people-reveal-pin,"""Commonwealth Bank""",Commonwealth Bank's new Eftpos system makes blind people reveal pin Disability advocates say the touchscreen terminal is difficult to be accessed by the blind or visually-impaired,-0.7845,0.0,0.744,0.256,negative
2017-08-03,Commonwealth Bank accused of money laundering and terrorism-financing breaches,"Australia’s financial intelligence agency suing bank for 53,700 breaches of laws, which it accuses of failing to report properly on $77m worth of suspicious transactions ",The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/aug/03/commonwealth-bank-accused-of-money-laundering-and-terrorism-financing-breaches,"""Commonwealth Bank""","Commonwealth Bank accused of money laundering and terrorism-financing breaches Australia’s financial intelligence agency suing bank for 53,700 breaches of laws, which it accuses of failing to report properly on $77m worth of suspicious transactions ",-0.7579,0.112,0.607,0.281,negative
2017-08-03,"Morning mail: Trump to Turnbull, 'You are worse than I am'","<strong>Friday: </strong>A<strong> l</strong>eaked transcript of heated phone call reveals PM explaining how offshore detention works. Plus, two men charged with terrorism offences over alleged plane plot ",The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/aug/04/morning-mail-trump-to-turnbull-you-are-worse-than-i-am,"""Commonwealth Bank""","Morning mail: Trump to Turnbull, 'You are worse than I am' <strong>Friday: </strong>A<strong> l</strong>eaked transcript of heated phone call reveals PM explaining how offshore detention works. Plus, two men charged with terrorism offences over alleged plane plot ",-0.9246,0.0,0.69,0.31,negative
2017-08-07,Commonwealth Bank unmasked: why the government is suing over alleged terrorism trail – explainer,"Austrac is accusing the CBA of money-laundering and terrorism-financing breaches, claiming ‘suspicious transactions’ went on for years<br>",The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/aug/08/commonwealth-bank-why-government-suing-over-alleged-terrorism-trail,"""Commonwealth Bank""","Commonwealth Bank unmasked: why the government is suing over alleged terrorism trail – explainer Austrac is accusing the CBA of money-laundering and terrorism-financing breaches, claiming ‘suspicious transactions’ went on for years<br>",-0.8126,0.0,0.769,0.231,negative
2017-08-08,Commonwealth Bank shareholders sue over 'inadequate' disclosure of climate change risks,"In world-first case, shareholders’ move comes after the Australian financial regulator warned climate change poses material risk to entire financial system",The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/aug/08/commonwealth-bank-shareholders-sue-over-inadequate-disclosure-of-climate-change-risks,"""Commonwealth Bank""","Commonwealth Bank shareholders sue over 'inadequate' disclosure of climate change risks In world-first case, shareholders’ move comes after the Australian financial regulator warned climate change poses material risk to entire financial system",-0.7906,0.0,0.757,0.243,negative
2017-08-08,Commonwealth Bank axes executive bonuses over money-laundering scandal, Cuts announced amid calls for repercussions in senior ranks over claims bank breached laws to combat funding for terrorism and crime syndicates,The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/aug/08/commonwealth-bank-axes-executive-bonuses-over-money-laundering-scandal,"""Commonwealth Bank""",Commonwealth Bank axes executive bonuses over money-laundering scandal  Cuts announced amid calls for repercussions in senior ranks over claims bank breached laws to combat funding for terrorism and crime syndicates,-0.9001,0.083,0.556,0.361,negative
2017-08-08,Malcolm Roberts under pressure on citizenship as new documents revealed – as it happened,Documents appear to show that the One Nation senator personally signed he was a British citizen. As it happened,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2017/aug/08/coalition-joint-party-room-to-decide-timing-of-marriage-equality-plebiscite-politics-live,"""Commonwealth Bank""",Malcolm Roberts under pressure on citizenship as new documents revealed – as it happened Documents appear to show that the One Nation senator personally signed he was a British citizen. As it happened,-0.296,0.0,0.936,0.064,negative
2017-08-08,Commonwealth Bank CEO to be forced to appear at bank hearings following scandal,Scott Morrison tells bank’s chairwoman ‘all options’ remain on the table after accusations of money laundering,The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/aug/08/commonwealth-bank-ceo-to-be-forced-to-appear-at-bank-hearings-following-scandal,"""Commonwealth Bank""",Commonwealth Bank CEO to be forced to appear at bank hearings following scandal Scott Morrison tells bank’s chairwoman ‘all options’ remain on the table after accusations of money laundering,-0.802,0.0,0.76,0.24,negative
2017-08-08,Comm Bank scandal: what happens when too much power is placed in too few hands,The money laundering breaches engulfing the Commonwealth Bank expose the cult of the leader and its effect on the economy and society,The Guardian,Opinion,https://www.theguardian.com/commentisfree/2017/aug/09/comm-bank-scandal-what-happens-when-too-much-power-is-placed-in-too-few-hands,"""Commonwealth Bank""",Comm Bank scandal: what happens when too much power is placed in too few hands The money laundering breaches engulfing the Commonwealth Bank expose the cult of the leader and its effect on the economy and society,-0.5423,0.0,0.886,0.114,negative
2017-08-08,Morning mail: Trump talks tough on North Korea nuclear threat,"<strong>Wednesday:</strong> US president promises ‘fire and fury’. Plus, Australian Border Force doctor warned about Manus asylum seeker’s health a year before his death",The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/aug/09/morning-mail-trump-talks-tough-on-north-korea-nuclear-threat,"""Commonwealth Bank""","Morning mail: Trump talks tough on North Korea nuclear threat <strong>Wednesday:</strong> US president promises ‘fire and fury’. Plus, Australian Border Force doctor warned about Manus asylum seeker’s health a year before his death",-0.8074,0.063,0.675,0.263,negative
2017-08-09,Commonwealth Bank beats expectations to deliver $9.88bn profit,The 4.6% improvement on 2016 comes as the bank faces allegations around money laundering and a lawsuit from shareholders ,The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/aug/09/commonwealth-bank-beats-expectations-to-deliver-988bn-profit,"""Commonwealth Bank""",Commonwealth Bank beats expectations to deliver $9.88bn profit The 4.6% improvement on 2016 comes as the bank faces allegations around money laundering and a lawsuit from shareholders ,0.6124,0.186,0.755,0.06,positive
2017-08-09,Commonwealth Bank CEO confident internal warnings not 'wilfully ignored',Ian Narev admits money laundering scandal ‘overshadowed’ eighth consecutive record annual cash profit of $9.88bn,The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/aug/09/commonwealth-bank-ceo-confident-internal-warnings-not-wilfully-ignored,"""Commonwealth Bank""",Commonwealth Bank CEO confident internal warnings not 'wilfully ignored' Ian Narev admits money laundering scandal ‘overshadowed’ eighth consecutive record annual cash profit of $9.88bn,0.6324,0.308,0.54,0.153,positive
2017-08-09,Di Natale: Roberts's story has changed more times than I've changed underpants – as it happened,Pauline Hanson moves to refer Malcolm Roberts case to high court,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2017/aug/09/malcolm-roberts-facing-move-to-refer-his-citizenship-to-high-court-politics-live,"""Commonwealth Bank""",Di Natale: Roberts's story has changed more times than I've changed underpants – as it happened Pauline Hanson moves to refer Malcolm Roberts case to high court,0.0,0.0,1.0,0.0,neutral
2017-08-11,Corporate watchdog investigates if Commonwealth Bank broke disclosure laws,"ASIC probe looks at whether bank met licensing obligations to ‘act efficiently, honestly and fairly’ in revealing costs of money laundering to investors ",The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/aug/11/corporate-watchdog-investigates-if-commonwealth-bank-broke-disclosure-laws,"""Commonwealth Bank""","Corporate watchdog investigates if Commonwealth Bank broke disclosure laws ASIC probe looks at whether bank met licensing obligations to ‘act efficiently, honestly and fairly’ in revealing costs of money laundering to investors ",0.4404,0.152,0.773,0.075,positive
2017-08-11,Philip Lowe lashes Commonwealth Bank amid money laundering charges,"Reserve Bank governor says trust in Australia’s major banks has become ‘strained’ in recent years, and the industry must rebuild its reputation",The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/aug/11/philip-lowe-lashes-commonwealth-bank-amid-money-laundering-charges,"""Commonwealth Bank""","Philip Lowe lashes Commonwealth Bank amid money laundering charges Reserve Bank governor says trust in Australia’s major banks has become ‘strained’ in recent years, and the industry must rebuild its reputation",0.4019,0.138,0.802,0.06,positive
2017-08-11,Carmichael coalmine: Commonwealth Bank indicates it will not lend to Adani,Controversial Queensland coalmine project is now without financing from any of Australia’s big four banks,The Guardian,Business,https://www.theguardian.com/business/2017/aug/11/carmichael-coalmine-commonwealth-bank-indicates-it-will-not-lend-to-adani,"""Commonwealth Bank""",Carmichael coalmine: Commonwealth Bank indicates it will not lend to Adani Controversial Queensland coalmine project is now without financing from any of Australia’s big four banks,-0.2023,0.0,0.933,0.067,negative
2017-08-14,Commonwealth Bank's first climate policy attacked by environmental groups,Market Forces says it will lodge shareholder resolution to force bank to implement stated commitment to Paris agreement,The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/aug/14/commonwealth-banks-first-climate-policy-attacked-by-environmental-groups,"""Commonwealth Bank""",Commonwealth Bank's first climate policy attacked by environmental groups Market Forces says it will lodge shareholder resolution to force bank to implement stated commitment to Paris agreement,0.4215,0.177,0.732,0.091,positive
2017-08-14,"Commonwealth Bank CEO Ian Narev to step aside by July 2018, chairman says",Catherine Livingstone declines to say if Narev offered to resign after money laundering scandal broke,The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/aug/14/commonwealth-bank-ceo-ian-narev-to-step-aside-by-july-2018-chairman-says,"""Commonwealth Bank""","Commonwealth Bank CEO Ian Narev to step aside by July 2018, chairman says Catherine Livingstone declines to say if Narev offered to resign after money laundering scandal broke",-0.7964,0.0,0.755,0.245,negative
2017-08-14,Why we need to see Commonwealth Bank directors in the witness box,The CBA money laundering scandal raises the Volkswagen dilemma. Either the directors knew what was going on or they didn’t. Which is worse?<br>,The Guardian,Opinion,https://www.theguardian.com/commentisfree/2017/aug/14/why-we-need-to-see-commonwealth-bank-directors-in-the-witness-box,"""Commonwealth Bank""",Why we need to see Commonwealth Bank directors in the witness box The CBA money laundering scandal raises the Volkswagen dilemma. Either the directors knew what was going on or they didn’t. Which is worse?<br>,-0.5574,0.0,0.878,0.122,negative
2017-08-14,Sainsbury’s is right to delay Nisa deal after Tesco-Booker concerns,Supermarket’s takeover of wholesaler makes commercial sense – but it should avoid the regulatory tangle its rival is facing,The Guardian,Business,https://www.theguardian.com/business/nils-pratley-on-finance/2017/aug/14/sainsburys-nisa-tesco-booker-supermarket,"""Commonwealth Bank""",Sainsbury’s is right to delay Nisa deal after Tesco-Booker concerns Supermarket’s takeover of wholesaler makes commercial sense – but it should avoid the regulatory tangle its rival is facing,-0.5346,0.0,0.859,0.141,negative
2017-08-16,Barnaby Joyce beware. Judges don't like it when politicians tell them what to do,The deputy prime minister’s future is at the mercy of the high court’s interpretation of a vaguely-written clause of the constitution. There could be some legal fireworks ,The Guardian,Opinion,https://www.theguardian.com/commentisfree/2017/aug/16/section-44-of-the-constitution-is-a-curious-beast-one-thats-been-ignored-over-the-years,"""Commonwealth Bank""",Barnaby Joyce beware. Judges don't like it when politicians tell them what to do The deputy prime minister’s future is at the mercy of the high court’s interpretation of a vaguely-written clause of the constitution. There could be some legal fireworks ,0.224,0.091,0.861,0.048,positive
2017-08-17,Australia's unemployment rate falls to 5.6% as jobs grow for 10th month,"Data shows employment grew by 27,900 jobs in July after the longest positive monthly streak since 2010",The Guardian,Business,https://www.theguardian.com/business/2017/aug/17/australias-unemployment-rate-falls-to-56-as-jobs-grow-for-10th-month,"""Commonwealth Bank""","Australia's unemployment rate falls to 5.6% as jobs grow for 10th month Data shows employment grew by 27,900 jobs in July after the longest positive monthly streak since 2010",0.1779,0.107,0.806,0.087,positive
2017-08-19,"Six Commonwealth Bank ATM deals may be linked to terrorism funding, Austrac says","Westpac, ANZ and National Australia Bank are not suspected of breaching the anti-money laundering laws CBA is alleged to have broken",The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/aug/19/six-commonwealth-bank-atm-deals-may-be-linked-to-terrorism-funding-austrac-says,"""Commonwealth Bank""","Six Commonwealth Bank ATM deals may be linked to terrorism funding, Austrac says Westpac, ANZ and National Australia Bank are not suspected of breaching the anti-money laundering laws CBA is alleged to have broken",-0.7926,0.041,0.768,0.191,negative
2017-08-23,Commonwealth Bank faces class action over money-laundering scandal,Lawyers announce potential lawsuit on behalf of shareholders hurt by the sharp fall in the bank’s shares,The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/aug/23/commonwealth-bank-faces-class-action-over-money-laundering-allegations,"""Commonwealth Bank""",Commonwealth Bank faces class action over money-laundering scandal Lawyers announce potential lawsuit on behalf of shareholders hurt by the sharp fall in the bank’s shares,-0.7184,0.07,0.669,0.261,negative
2017-08-23,Wednesday briefing: Baby boomers 'worst drinkers and drug users',"Rate of over-50 substance abuse sparks health warning … May accused of EU courts reversal … and, homeowners fall off the ladder and down the basement",The Guardian,World news,https://www.theguardian.com/world/2017/aug/23/wednesday-briefing-baby-boomers-worst-drinkers-and-drug-users,"""Commonwealth Bank""","Wednesday briefing: Baby boomers 'worst drinkers and drug users' Rate of over-50 substance abuse sparks health warning … May accused of EU courts reversal … and, homeowners fall off the ladder and down the basement",-0.9169,0.0,0.706,0.294,negative
2017-08-23,Executive pay: top bosses scoop average of $5.7m a year as bonus boom keeps on giving,"Chief executives are more likely to get fired than be denied bonuses for supposedly exceptional performance, an investor group says",The Guardian,Business,https://www.theguardian.com/business/2017/aug/24/executive-bonuses-are-still-routine-at-australias-top-companies-figures-show,"""Commonwealth Bank""","Executive pay: top bosses scoop average of $5.7m a year as bonus boom keeps on giving Chief executives are more likely to get fired than be denied bonuses for supposedly exceptional performance, an investor group says",0.6124,0.264,0.574,0.162,positive
2017-08-27,US broadcaster CBS agrees to buy Australia's Ten Network,"Lachlan Murdoch and Bruce Gordon had seemed poised to buy the network, which had been cited as proof media ownership laws needed to change",The Guardian,Media,https://www.theguardian.com/media/2017/aug/28/us-broadcaster-cbs-agrees-buy-australia-ten-network,"""Commonwealth Bank""","US broadcaster CBS agrees to buy Australia's Ten Network Lachlan Murdoch and Bruce Gordon had seemed poised to buy the network, which had been cited as proof media ownership laws needed to change",0.4215,0.109,0.891,0.0,positive
2017-08-29,Coalition to crack down on banking industry executive pay,"Banking regulator could defer bonuses, cap pay and punish directors under new legislation spurred by Commonwealth Bank scandal",The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/aug/29/coalition-to-crack-down-on-banking-industry-executive-pay,"""Commonwealth Bank""","Coalition to crack down on banking industry executive pay Banking regulator could defer bonuses, cap pay and punish directors under new legislation spurred by Commonwealth Bank scandal",-0.6908,0.1,0.585,0.315,negative
2017-09-11,Coalition to allow government-backed loans to coalmines as banks hesitant,"Government backing for mines, which could potentially include the Adani Carmichael project, comes as banks under pressure from activist groups",The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/sep/11/coalition-to-allow-government-backed-loans-to-coalmines-as-banks-hesitant,"""Commonwealth Bank""","Coalition to allow government-backed loans to coalmines as banks hesitant Government backing for mines, which could potentially include the Adani Carmichael project, comes as banks under pressure from activist groups",-0.296,0.09,0.783,0.127,negative
2017-09-15,Lachlan Murdoch and Bruce Gordon make new bid for Ten Network,Bid comes after the Senate passed changes to media laws which would previously have blocked a Murdoch-Gordon takeover of Ten,The Guardian,Media,https://www.theguardian.com/media/2017/sep/15/lachlan-murdoch-and-bruce-gordon-make-new-bid-for-ten-network,"""Commonwealth Bank""",Lachlan Murdoch and Bruce Gordon make new bid for Ten Network Bid comes after the Senate passed changes to media laws which would previously have blocked a Murdoch-Gordon takeover of Ten,-0.2732,0.0,0.935,0.065,negative
2017-09-20,Labor demands Turnbull ally be ruled out as next head of corporate regulator,"Appointment of Credit Suisse chairman John O’Sullivan, a Turnbull close friend, would threaten Asic independence, Chris Bowen says",The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/sep/20/labor-demands-turnbull-ally-be-ruled-out-as-next-head-of-corporate-regulator,"""Commonwealth Bank""","Labor demands Turnbull ally be ruled out as next head of corporate regulator Appointment of Credit Suisse chairman John O’Sullivan, a Turnbull close friend, would threaten Asic independence, Chris Bowen says",0.4939,0.159,0.769,0.071,positive
2017-09-21,Commonwealth Bank shareholders drop suit over nondisclosure of climate risks,Guy and Kim Abrahams say case does not need to proceed after changes in bank’s 2017 annual report,The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/sep/21/commonwealth-bank-shareholders-drop-suit-over-non-disclosure-of-climate-risks,"""Commonwealth Bank""",Commonwealth Bank shareholders drop suit over nondisclosure of climate risks Guy and Kim Abrahams say case does not need to proceed after changes in bank’s 2017 annual report,-0.4939,0.0,0.861,0.139,negative
2017-09-24,"Commonwealth Bank, ANZ, NAB and Westpac axe ATM fees for customers of rivals",Greg Hunt welcomes decision but Bill Shorten says royal commission into banks is still needed,The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/sep/24/commonwealth-bank-axes-2-atm-fees-for-rival-banks-customers,"""Commonwealth Bank""","Commonwealth Bank, ANZ, NAB and Westpac axe ATM fees for customers of rivals Greg Hunt welcomes decision but Bill Shorten says royal commission into banks is still needed",0.1655,0.064,0.895,0.041,positive
2017-09-26,The giant is coming: the true cost of Amazon to retailers and workers,"Amazon’s arrival in Australia is imminent and, while the big guns are bullish, many smaller retailers aren’t aware of the threat ",The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/sep/27/the-giant-is-coming-the-true-cost-of-amazon-to-retailers-and-workers,"""Commonwealth Bank""","The giant is coming: the true cost of Amazon to retailers and workers Amazon’s arrival in Australia is imminent and, while the big guns are bullish, many smaller retailers aren’t aware of the threat ",0.0258,0.116,0.797,0.087,neutral
2017-10-02,Bankers' Association condemns Coalition's accountability rules,Lobby group says plan gives regulator too much power and could expose bank chiefs to class actions led by customers,The Guardian,Australia news,https://www.theguardian.com/australia-news/2017/oct/03/bankers-association-condemns-coalitions-accountability-rules,"""Commonwealth Bank""",Bankers' Association condemns Coalition's accountability rules Lobby group says plan gives regulator too much power and could expose bank chiefs to class actions led by customers,-0.5859,0.038,0.793,0.169,negative
2017-10-02,"Adani needs Carmichael mine to stave off income crash, report says","The Indian mining giant faces plummeting revenue and risks losing the Abbot Point coal terminal, while new questions have arisen about its ownership structure",The Guardian,Business,https://www.theguardian.com/business/2017/oct/03/adani-needs-carmichael-mine-to-stave-off-income-crash-report-says,"""Commonwealth Bank""","Adani needs Carmichael mine to stave off income crash, report says The Indian mining giant faces plummeting revenue and risks losing the Abbot Point coal terminal, while new questions have arisen about its ownership structure",-0.7506,0.0,0.812,0.188,negative
2017-10-10,Channel Ten: some of Australia’s best known billionaires face massive losses,"Lachlan Murdoch, Bruce Gordon, James Packer and Gina Rinehart face losses in the hundreds of millions",The Guardian,Media,https://www.theguardian.com/media/2017/oct/10/channel-ten-some-of-australias-best-known-billionaires-face-massive-losses,"""Commonwealth Bank""","Channel Ten: some of Australia’s best known billionaires face massive losses Lachlan Murdoch, Bruce Gordon, James Packer and Gina Rinehart face losses in the hundreds of millions",-0.0516,0.125,0.714,0.161,negative
2017-10-12,Abbot Point coal terminal: Westpac may not refinance Adani loan,"Report reveals Adani needs to refinance $2bn of loans for Abbot Point coal terminal, which is more than it paid for it in 2011",The Guardian,Environment,https://www.theguardian.com/environment/2017/oct/12/abbot-point-coal-terminal-westpac-may-not-refinance-adani-loan,"""Commonwealth Bank""","Abbot Point coal terminal: Westpac may not refinance Adani loan Report reveals Adani needs to refinance $2bn of loans for Abbot Point coal terminal, which is more than it paid for it in 2011",0.0,0.0,1.0,0.0,neutral
