date,title,trail_text,source,section,url,query
2015-05-20,"Australia's banks have 10% loans in risky fossil fuels, says investment adviser","Biggest four banks have about 10% of known loan arrangements in coal, oil and gas projects, which could be ‘stranded’ by policy change, research shows",The Guardian,Business,https://www.theguardian.com/business/2015/may/20/australias-banks-have-10-loans-in-risky-fossil-fuels-says-investment-adviser,"""Commonwealth Bank"""
2015-05-22,"Belt up, fellow Australians: we're in for another Big Stupid tax debate",The Coalition’s decision to rule out any changes to superannuation taxes – ever – because ‘higher tax = Labor = bad’ is a comic book argument,The Guardian,Australia news,https://www.theguardian.com/australia-news/2015/may/22/belt-up-fellow-australians-were-in-for-another-big-stupid-tax-debate,"""Commonwealth Bank"""
2015-06-01,Treasury secretary says superannuation tax concessions need to be reviewed,Labor seizes on John Fraser’s comments following the Coalition framing superannuation as a clear point of difference between the parties,The Guardian,Australia news,https://www.theguardian.com/australia-news/2015/jun/01/treasury-secretary-says-superannuation-tax-concessions-need-to-be-reviewed,"""Commonwealth Bank"""
2015-06-10,"Forget about intergenerational theft, this is intergenerational bullying",What does the Abbott government have against young people? They’ve told us to ‘have a go’ but their policies make life much harder for us,The Guardian,Opinion,https://www.theguardian.com/commentisfree/2015/jun/10/forget-about-intergenerational-theft-this-is-intergenerational-bullying,"""Commonwealth Bank"""
2015-06-17,Australian banks 'favour fossil fuel projects over renewables by $6 to $1',"Highly unlikely that any major polluting project could go ahead in the country without investment by the big four, Market Forces campaigner says",The Guardian,Environment,https://www.theguardian.com/environment/2015/jun/17/australian-banks-favour-fossil-fuel-projects-over-renewables-by-6-to-1,"""Commonwealth Bank"""
2015-06-17,Does your superannuation fund invest in fossil fuel companies?,Even some super funds listed as ‘sustainable’ that advertise themselves as socially responsible have a relatively high investment in fossil fuel companies. ,The Guardian,News,https://www.theguardian.com/news/datablog/2015/jun/18/does-your-superannuation-fund-invest-in-fossil-fuel-companies,"""Commonwealth Bank"""
2015-07-01,Barclays new IT director was given £1.6m of shares,"Award, which was announced to the stock exchange, was part of deal to buy Michael Harte out of his role at Commonwealth Bank of Australia",The Guardian,Business,https://www.theguardian.com/business/2015/jul/01/barclays-new-it-director-was-given-16m-of-shares,"""Commonwealth Bank"""
2015-07-21,Australian tax reform: options on the menu for Abbott and premiers at Coag,Increasing or broadening the base of GST? Hiking the Medicare levy? Scrapping negative gearing? Who supports which measures as political leaders gather for the Coag meeting in Sydney,The Guardian,Australia news,https://www.theguardian.com/news/2015/jul/22/australian-tax-reform-options-on-the-menu-for-abbott-and-premiers-at-coag,"""Commonwealth Bank"""
2015-07-31,Legal battle to unearth Commonwealth Bank's fossil fuel interests fails,"The Australasian Centre for Corporate Responsibility, a Commonwealth Bank shareholder, tried to put a resolution on greenhouse gasses to the bank’s AGM",The Guardian,Environment,https://www.theguardian.com/environment/2015/jul/31/legal-battle-to-unearth-commonwealth-banks-fossil-fuel-interests-fails,"""Commonwealth Bank"""
2015-08-05,"Future of Carmichael mine hinges not on skinks or snakes, but its business case","Its potential environmental impact on vulnerable species has caused outrage, yet it is the fight to make the mine viable that may yet pose the greatest challenge",The Guardian,Environment,https://www.theguardian.com/environment/2015/aug/06/future-of-carmichael-mine-hinges-not-on-skinks-or-snakes-but-its-business-case,"""Commonwealth Bank"""
2015-08-07,Banking worries spark biggest one-day fall in Australian shares for three years,"Concerns that the Commonwealth Bank will have to announce a large fund raising were behind a 2.4% drop in the ASX200 index, despite an upbeat quarterly statement from the RBA",The Guardian,Business,https://www.theguardian.com/business/2015/aug/07/banking-worries-spark-biggest-one-day-fall-in-australian-shares-for-three-years,"""Commonwealth Bank"""
2015-08-09,RBS executives set for multimillion-pound payouts,Share awards come a week after the government sold a stake in Royal Bank of Scotland,The Guardian,Business,https://www.theguardian.com/business/2015/aug/09/rbs-executives-set-for-multimillion-pound-payout,"""Commonwealth Bank"""
2015-08-10,Standard Chartered quits controversial Carmichael coalmine in Queensland,"Involvement with the mine, which critics say threatens endangered species, was exposing the London-based bank to reputational damage",The Guardian,Business,https://www.theguardian.com/business/2015/aug/10/standard-chartered-quits-controversial-queensland-coal-mining-project,"""Commonwealth Bank"""
2015-08-11,Carmichael mine's new hurdle: analysts predict India's coal imports zero by 2021,"Adani’s $16bn coalmine would be left ‘stranded’, says energy institute, by India’s plan to install renewable energy plants and upgrade grids",The Guardian,Environment,https://www.theguardian.com/environment/2015/aug/11/carmichael-mines-new-hurdle-analysts-predict-indias-coal-imports-zero-by-2021,"""Commonwealth Bank"""
2015-08-13,The Weekly Beast: Rupert Murdoch's in town and News Corp gets the vapours,The press baron’s visit to Sydney was met with some eccentric behaviour by his media-watchers. Plus Michael Clarke gets bowled a couple of bouncers from the Courier-Mail,The Guardian,Media,https://www.theguardian.com/media/2015/aug/13/the-weekly-beast-rupert-murdochs-in-town-and-news-corp-gets-the-vapours,"""Commonwealth Bank"""
2015-08-13,Is Australia stuck in a 'new normal' of low wages growth?,"Labour market flexibility has kept wages growth down while demand was weak, but it remains to be seen whether it will push up wages when demand returns",The Guardian,Business,https://www.theguardian.com/business/grogonomics/2015/aug/13/is-australia-stuck-in-a-new-normal-of-low-wages-growth,"""Commonwealth Bank"""
2015-08-13,Global insurer Aviva warns of 'grave reputational risks' of Carmichael mine,Concerns come as president of Kiribati calls for immediate worldwide moratorium on new coalmines and expansions ahead of Paris climate talks,The Guardian,Environment,https://www.theguardian.com/environment/2015/aug/13/insurer-aviva-warns-reputational-risks-bankrolling-carmichael-coalmine,"""Commonwealth Bank"""
2015-08-18,Australian shares hit seven-month low as China uncertainty hurts banks,Financial stocks are punished and Chinese market slumps alarmingly amid fears that the ‘party is over’ in the world’s second biggest economy,The Guardian,Business,https://www.theguardian.com/business/2015/aug/18/australian-shares-hit-seven-month-low-as-china-uncertainty-hurts-banks,"""Commonwealth Bank"""
