Date,Close,High,Low,Open,Volume,Ticker
2010-01-04,14.224620819091797,14.284054735689512,14.10244975599274,14.115656620190357,4436014,BHP.AX
2010-01-05,14.290657997131348,14.409527342761479,14.27414941708147,14.363300290913417,10918398,BHP.AX
2010-01-06,14.468965530395508,14.478872195204431,14.376511399403682,14.389719781197362,7806934,BHP.AX
2010-01-07,14.452451705932617,14.57462277214755,14.445848273665394,14.498678759511701,7964069,BHP.AX
2010-01-08,14.402922630310059,14.485470064783522,14.36329901400452,14.426034640325213,5510642,BHP.AX
2010-01-11,14.683585166931152,14.690188599066591,14.505281902294728,14.52179199648755,11048942,BHP.AX
2010-01-12,14.35999870300293,14.49537662989059,14.34348860895157,14.478868049693444,10769158,BHP.AX
2010-01-13,14.237831115722656,14.277454745576346,14.151981936179105,14.181698901642081,15675825,BHP.AX
2010-01-14,14.455756187438965,14.54490859551829,14.317076514026681,14.346793478768273,12295931,BHP.AX
2010-01-15,14.412827491760254,14.422732638713262,14.290656443402996,14.386412252698202,16956523,BHP.AX
2010-01-18,14.343486785888672,14.353393446602032,14.188297068634899,14.227920683780297,14933201,BHP.AX
2010-01-19,14.300567626953125,14.465664076172475,14.300567626953125,14.409531858702671,16769171,BHP.AX
2010-01-20,14.333582878112793,14.50858441806748,14.330281162207593,14.46235736768637,15383620,BHP.AX
2010-01-21,14.08924388885498,14.221318595594623,14.082638942434539,14.181696486343595,17785914,BHP.AX
2010-01-22,13.76895523071289,13.76895523071289,13.617067226128556,13.676502650001154,21740426,BHP.AX
2010-01-25,13.62037181854248,13.656692208553858,13.448671988820058,13.481690662817146,15107362,BHP.AX
2010-01-27,13.306690216064453,13.475088343680392,13.290181634629585,13.468484911106446,21654759,BHP.AX
2010-01-28,13.438767433166504,13.458579246211523,13.326503015668802,13.422258850507689,25773918,BHP.AX
2010-01-29,13.009517669677734,13.253858272779446,13.006215953753218,13.22744303152915,30597135,BHP.AX
2010-02-01,12.943480491638184,13.214237885029444,12.92367019351672,13.062349849638748,20565963,BHP.AX
2010-02-02,13.359517097473145,13.42885766234154,13.313291568081464,13.369423757513726,15218937,BHP.AX
2010-02-03,13.702919960021973,13.788769122338843,13.640182810985035,13.778863973790301,19425622,BHP.AX
2010-02-04,13.534523963928223,13.61376970632854,13.451976504826373,13.587354458861768,11498417,BHP.AX
2010-02-05,13.059046745300293,13.085461987175716,12.976499303671373,13.059046745300293,20324454,BHP.AX
2010-02-08,13.075559616088867,13.247257967816443,13.059049518715074,13.174615658768076,14688729,BHP.AX
2010-02-09,13.158102989196777,13.207631752083225,12.956686221972435,13.02602679278427,15145432,BHP.AX
2010-02-10,13.168007850646973,13.617066908710386,13.062346895808522,13.57083986250506,21252959,BHP.AX
