date,Open,High,Low,Close,Adj Close,Volume,Target_t1,Target_t7,sentiment_mean,sentiment_std,positive_ratio,negative_ratio,post_volume
2015-01-02,84.95968627929688,85.27796173095703,84.66130828857422,85.27796173095703,51.29526901245117,949439,1,0,0.0,0.0,0.0,0.0,0.0
2015-01-05,85.2381820678711,85.7752685546875,85.04920196533203,85.48683166503906,51.420902252197266,1351651,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-06,84.64141082763672,85.33763885498047,84.41265106201172,84.84033203125,51.03203201293945,2477275,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-07,84.85028076171875,85.02931213378906,84.09437561035156,84.65135955810547,50.918357849121094,2127190,1,0,0.0,0.0,0.0,0.0,0.0
2015-01-08,85.07904052734375,85.18844604492188,84.67124938964844,84.92984771728516,51.08587265014648,1997761,1,0,0.0,0.0,0.0,0.0,6.0
2015-01-09,85.90457153320312,86.0040283203125,85.1685562133789,85.57634735107422,51.4747428894043,2647416,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-12,85.22823333740234,85.73548126220703,85.02931213378906,85.18844604492188,51.24140930175781,1329585,0,0,-0.1111111111111111,0.3333333333333333,0.0,0.1111111111111111,9.0
2015-01-13,84.55189514160156,84.96963500976562,84.54195404052734,84.84033203125,51.03203201293945,1841433,0,0,0.0,0.7071067811865476,0.2,0.2,5.0
2015-01-14,84.72097778320312,84.74087524414062,83.22906494140625,83.22906494140625,50.06283950805664,4248481,0,1,0.0,0.0,0.0,0.0,3.0
2015-01-15,82.64224243164062,83.29869079589844,82.44332122802734,83.05998229980469,49.96113204956055,3671533,1,1,0.0,0.0,0.0,0.0,5.0
2015-01-16,82.69197082519531,83.63685607910156,82.44332122802734,83.11965942382812,49.997039794921875,2690154,0,1,0.0,0.0,0.0,0.0,4.0
2015-01-19,83.56723022460938,83.97502136230469,82.52288818359375,82.65219116210938,49.71583557128906,2515332,1,1,0.0,0.0,0.0,0.0,1.0
2015-01-20,82.6820297241211,83.38819885253906,82.59251403808594,83.05003356933594,49.95515060424805,2414127,1,1,0.0,0.0,0.0,0.0,6.0
2015-01-21,83.4478759765625,84.21372985839844,83.34841918945312,84.21372985839844,50.65510940551758,2420834,1,1,0.0,0.0,0.0,0.0,4.0
2015-01-22,84.7607650756836,84.9895248413086,84.50216674804688,84.77071380615234,50.99015808105469,2084315,1,1,0.0,0.0,0.0,0.0,4.0
2015-01-23,85.48683166503906,85.76531982421875,85.34758758544922,85.76531982421875,51.58841323852539,2140195,1,1,-0.3333333333333333,0.5163977794943223,0.0,0.3333333333333333,6.0
2015-01-27,85.88467407226562,87.17767333984375,85.81505584716797,87.15777587890625,52.42597961425781,2770732,1,1,0.0,0.0,0.0,0.0,2.0
2015-01-28,86.89917755126953,87.4959487915039,86.3322525024414,87.22740173339844,52.467864990234375,2075650,1,1,-0.2,0.447213595499958,0.0,0.2,5.0
2015-01-29,86.89917755126953,88.5601806640625,86.79972076416016,88.28169250488281,53.102027893066406,3370837,1,1,0.125,0.6408699444616557,0.25,0.125,8.0
2015-01-30,88.92818450927734,89.51500701904297,88.84861755371094,88.84861755371094,53.44304275512695,14169348,1,1,0.0,0.0,0.0,0.0,3.0
2015-02-02,88.81877899169922,89.41554260253906,88.66958618164062,89.19673156738281,53.65242767333984,2145318,1,1,0.0,0.0,0.0,0.0,0.0
2015-02-03,89.46527862548828,90.181396484375,88.39109802246094,89.91284942626953,54.08318328857422,3430360,1,1,0.0,0.0,0.0,0.0,0.0
2015-02-04,91.12627410888672,91.44454956054688,89.723876953125,90.30075073242188,54.316505432128906,3432166,1,1,0.0,0.0,0.0,0.0,0.0
2015-02-05,90.76821899414062,92.78727722167967,90.43004608154295,92.76738739013672,55.80020904541016,4524529,0,1,0.0,0.0,0.0,0.0,0.0
2015-02-06,93.2646942138672,93.45366668701172,92.15072631835938,92.47895050048828,55.626712799072266,4105866,0,0,0.0,0.0,0.0,0.0,0.0
2015-02-09,92.25019073486328,92.737548828125,91.60369110107422,92.42921447753906,55.5967903137207,2857655,0,0,0.3333333333333333,0.5773502691896258,0.3333333333333333,0.0,3.0
2015-02-10,92.3595962524414,92.39938354492188,91.53406524658205,92.09104919433594,55.39337539672851,2156241,0,0,0.0,0.5345224838248488,0.125,0.125,8.0
2015-02-11,92.49884033203124,92.49884033203124,91.10638427734376,91.36498260498048,54.95664596557617,2828941,0,0,0.1428571428571428,0.3779644730092272,0.1428571428571428,0.0,7.0
2015-02-12,91.28541564941406,91.28541564941406,90.37037658691406,90.68864440917967,54.549827575683594,4786087,1,0,0.0,0.0,0.0,0.0,4.0
2015-02-13,91.35504150390624,93.08566284179688,90.9373016357422,92.64803314208984,55.72841262817383,3515916,1,0,0.0,0.0,0.0,0.0,4.0
2015-02-16,92.69776153564452,93.41387939453124,91.67330932617188,92.96630859375,55.91985321044922,2907971,0,0,0.1428571428571428,0.3779644730092272,0.1428571428571428,0.0,7.0
2015-02-17,89.88301086425781,90.75827026367188,89.42549133300781,89.51500701904297,55.0091438293457,12418689,1,1,0.0,0.5345224838248488,0.125,0.125,8.0
2015-02-18,90.13166809082033,90.30075073242188,89.40560150146484,90.22118377685548,55.4431037902832,2630013,1,1,0.2,0.447213595499958,0.2,0.0,5.0
2015-02-19,90.56929779052734,90.87762451171876,90.06204223632812,90.64886474609376,55.7059326171875,1999472,0,1,0.1666666666666666,0.408248290463863,0.1666666666666666,0.0,6.0
2015-02-20,90.6588134765625,90.98703002929688,89.50505828857422,89.723876953125,55.13750457763672,1542448,1,1,0.0,0.0,0.0,0.0,5.0
2015-02-23,90.01231384277344,90.41015625,89.68408966064453,89.92279815673828,55.2597541809082,1754129,1,1,0.0,0.0,0.0,0.0,3.0
2015-02-24,90.01231384277344,90.7085418701172,89.63436126708984,90.54940032958984,55.64481735229492,2157809,0,1,0.0,0.0,0.0,0.0,12.0
2015-02-25,90.7085418701172,90.92735290527344,90.06204223632812,90.38031768798828,55.54090881347656,1592051,0,1,0.0,0.0,0.0,0.0,5.0
2015-02-26,90.43999481201172,90.45988464355467,89.73382568359375,89.93274688720703,55.26586151123047,2128938,1,1,0.0,0.0,0.0,0.0,6.0
2015-02-27,90.37037658691406,91.8026123046875,89.81339263916016,91.4246597290039,56.18266677856445,7409937,1,0,0.5,0.7071067811865476,0.5,0.0,2.0
2015-03-02,91.40476989746094,92.60824584960938,91.13622283935548,92.05126953125,56.56774139404297,2130106,0,0,0.0,0.0,0.0,0.0,0.0
2015-03-03,92.17061614990234,92.97625732421876,90.83783721923828,91.4246597290039,56.18266677856445,2663772,0,0,0.0,0.0,0.0,0.0,0.0
2015-03-04,91.70315551757812,91.7230453491211,90.0322036743164,90.638916015625,55.6998291015625,1830215,0,1,0.0,0.0,0.0,0.0,0.0
2015-03-05,90.5096206665039,90.68864440917967,89.96258544921875,90.62897491455078,55.69369888305664,1687516,0,1,0.0,0.0,0.0,0.0,0.0
2015-03-06,90.49967193603516,91.1958999633789,89.96258544921875,90.59913635253906,55.67536926269531,1263953,0,1,0.0,0.0,0.0,0.0,0.0
2015-03-09,89.84323120117188,90.58421325683594,89.8034439086914,90.0322036743164,55.32699203491211,1377237,1,1,0.0,0.0,0.0,0.0,0.0
2015-03-10,90.21123504638672,90.7383804321289,89.83328247070312,90.19134521484376,55.424781799316406,1933147,0,1,0.0,0.0,0.0,0.0,3.0
2015-03-11,89.51500701904297,90.27091217041016,89.1171646118164,90.0322036743164,55.32699203491211,1898428,1,1,0.0,0.0,0.0,0.0,6.0
2015-03-12,89.66419982910156,91.4942855834961,89.66419982910156,91.32520294189452,56.121551513671875,1966227,0,1,0.0,0.0,0.0,0.0,8.0
2015-03-13,91.50422668457033,91.76282501220705,90.62897491455078,90.82789611816406,55.81594467163086,1755490,1,1,0.0,0.0,0.0,0.0,8.0
2015-03-16,90.5096206665039,91.5738525390625,90.2609634399414,91.2953643798828,56.10321807861328,1814882,1,1,0.0,0.0,0.0,0.0,8.0
2015-03-17,92.10099792480467,93.15528106689452,91.91201782226562,92.90663146972656,57.0933723449707,2773915,0,1,0.0,0.0,0.0,0.0,6.0
2015-03-18,92.60824584960938,92.98619842529295,91.94185638427734,92.8867416381836,57.081153869628906,3200946,1,1,-0.2,0.447213595499958,0.0,0.2,5.0
2015-03-19,93.2945327758789,95.28375244140624,93.2945327758789,95.0947723388672,58.43804168701172,5135625,1,0,-0.1111111111111111,0.3333333333333333,0.0,0.1111111111111111,9.0
2015-03-20,94.68698120117188,96.07943725585938,94.4383316040039,95.80094909667967,58.87200546264648,5602495,0,0,0.0,0.0,0.0,0.0,4.0
