Price,Close,High,Low,Open,Volume
Ticker,BHP.AX,BHP.AX,BHP.AX,BHP.AX,BHP.AX
Date,,,,,
2005-01-04,4.687746047973633,4.718708320486715,4.678457082305422,4.706323624417197,9577292
2005-01-05,4.641300201416016,4.641300201416016,4.59175966111809,4.5979525391864655,17338086
2005-01-06,4.653685092926025,4.669166577796401,4.604144554276454,4.607240993207615,10893452
2005-01-07,4.706320762634277,4.727994411192863,4.675357799163197,4.690839280898738,11839128
2005-01-10,4.715611934661865,4.73728559501831,4.690841834315737,4.703226529595966,8525514
2005-01-11,4.709417343139648,4.752764999724944,4.703224465877641,4.715609865508976,9425972
2005-01-12,4.743478298187256,4.749670468150143,4.697034184323024,4.712515319015886,9468182
2005-01-13,4.743478298187256,4.786825617284399,4.731092893583015,4.7713444825915365,10329984
2005-01-14,4.7651519775390625,4.768248062533373,4.7218039484761265,4.7372854381261496,7298129
2005-01-17,4.873521327972412,4.8766174129588205,4.839462263764982,4.8611362782411325,12956398
2005-01-18,4.854943752288818,4.938542660509833,4.842558702560311,4.935446575524117,13421297
2005-01-19,4.895195484161377,4.916869500836303,4.839462754716669,4.892099398860878,12956900
2005-01-20,4.830173015594482,4.858039553301116,4.8054032724781885,4.833269455292021,9243129
2005-01-21,4.830173015594482,4.842558419491832,4.8054032724781885,4.8146918817851985,9667311
2005-01-24,4.938542366027832,4.94163845082893,4.882809645572853,4.895194694562848,12531205
2005-01-25,4.960216522216797,5.022142128275622,4.954024351993036,5.006660992930543,13965371
2005-01-27,5.071681022644043,5.077873546165327,4.975696730617778,4.984985693346076,15690764
2005-01-28,5.034526824951172,5.090259547086641,5.019045690693281,5.0654894483597666,25191718
2005-01-31,5.037623882293701,5.074779034938812,4.991179764040884,5.00046872964859,11980493
2005-02-01,5.127414226531982,5.139799274763428,5.087162642333393,5.0964516059533675,11523944
2005-02-02,5.226495265960693,5.2791315465060125,5.217206301809872,5.254361448627557,25333232
2005-02-03,5.297710418701172,5.347250626603358,5.241977684811212,5.263651703214862,19888258
2005-02-04,5.248168468475342,5.2791310881350215,5.226494812159951,5.241975944543405,16462860
2005-02-07,5.269842624664307,5.288420198222299,5.229591392735057,5.23268747754832,10771248
2005-02-08,5.251263618469238,5.325573892428061,5.241975011670739,5.294611633171257,12118446
2005-02-09,5.149086952209473,5.251263397150185,5.149086952209473,5.251263397150185,18779358
2005-02-10,5.133607864379883,5.145993270191113,5.071682609788017,5.1181267281783445,16614879
2005-02-11,5.161473751068115,5.195532816557608,5.152185140866422,5.170763071055481,12673189
2005-02-14,5.232686996459961,5.245072399252724,5.21101334008136,5.21101334008136,13839724
2005-02-15,5.310095310211182,5.310095310211182,5.22959247480284,5.232688560256722,14913358
2005-02-16,5.402982234954834,5.5330252450659465,5.372019613499807,5.455618513981985,31586412
2005-02-17,5.551603317260742,5.567084451934264,5.44942647982278,5.505159203454535,24609271
2005-02-18,5.5546979904174805,5.604237818551924,5.505157452497619,5.545409028653535,19311015
2005-02-21,5.53611946105957,5.6382958933753065,5.53611946105957,5.588755718945216,12780308
2005-02-22,5.492773532867432,5.567083822643232,5.461810912127515,5.536121556796097,10726210
2005-02-23,5.709511756896973,5.734282207856085,5.526832120961343,5.539217523887286,24963665
2005-02-24,5.672357082366943,5.796207927844037,5.625913325844237,5.737379122262901,19682955
2005-02-25,5.7590532302856445,5.771438280310991,5.715705555196933,5.7590532302856445,39469512
2005-02-28,5.992659568786621,6.014576457632263,5.96761190088856,5.9801357348375905,54831275
2005-03-01,6.011446475982666,6.039624928353136,5.964482269075303,6.005184916673446,16931631
2005-03-02,5.93317174911499,5.97074325230552,5.89560024592446,5.914385997519726,20617551
2005-03-03,5.9613518714904785,5.986399906189316,5.870553867175285,5.883077705089809,16029583
2005-03-04,5.93317174911499,6.042755479522214,5.930040611080935,6.0114455346604165,15410408
2005-03-07,6.0396246910095215,6.064672362741065,6.005184680683247,6.02710085514375,14597410
2005-03-08,5.901863098144531,5.980137259720034,5.895601538443049,5.90499423686504,21192511
2005-03-09,6.017708778381348,6.105375997353993,5.917518081120917,5.973875348329909,27340948
2005-03-10,5.992659568786621,6.027099932711617,5.923778482066952,5.948826149965013,19025032
2005-03-11,5.86115837097168,5.9269083092092725,5.845503401614869,5.9269083092092725,18504922
2005-03-14,5.948825359344482,5.973873023913618,5.814193982850565,5.851765479704268,15708558
2005-03-15,5.845506191253662,5.989530686138196,5.8141965964678475,5.948828033481743,20685340
2005-03-16,5.811062812805176,5.879943885730755,5.7922770656436535,5.832979338392149,18033019
2005-03-17,5.820456027984619,5.861158301867122,5.8048010588123855,5.823586806497298,20377030
2005-03-18,5.923777103424072,5.970741649237699,5.892467525838186,5.942562849975604,21186814
2005-03-21,5.989529132843018,5.995791050176246,5.951957628843651,5.955088408075417,12886233
2005-03-22,5.904992580413818,5.973873665375243,5.904992580413818,5.964480969588064,11455279
2005-03-23,5.820456027984619,5.854896385972151,5.798539142917416,5.839241775669532,19554942
2005-03-24,5.714004993438721,5.773493034730018,5.707743075467546,5.7609695576574005,31455365
2005-03-29,5.623204708099365,5.698347693081033,5.62007392982659,5.657645422317423,15901465
2005-03-30,5.535541534423828,5.569981912432512,5.494838878010121,5.504231936747832,25088153
2005-03-31,5.595026969909668,5.6513842157143985,5.595026969909668,5.604419664775641,18131099
2005-04-01,5.726529121398926,5.726529121398926,5.670171856784474,5.6826956933654635,12320151
2005-04-04,5.732790946960449,5.760969758246753,5.707743274203621,5.751576701528069,11641779
2005-04-05,5.717134952545166,5.739051841733937,5.698349201327512,5.729659145559951,10283164
2005-04-06,5.585636138916016,5.6858268379942025,5.573112301531242,5.67643413939051,18702887
2005-04-07,5.63572883605957,5.6513834449911275,5.61068081580383,5.6513834449911275,14484461
2005-04-08,5.7766242027282715,5.7766242027282715,5.714005022695894,5.72652885870237,16652677
2005-04-11,5.657647132873535,5.723397444046504,5.64512329825675,5.714004388649068,17396977
2005-04-12,5.6920881271362305,5.6920881271362305,5.601290142428631,5.6106828394013,15933805
2005-04-13,5.663909435272217,5.6889571062087825,5.632599846601509,5.667040214704428,14768615
2005-04-14,5.425957679748535,5.494838793577311,5.422826899463954,5.466660335536811,30815360
2005-04-15,5.216181755065918,5.306979741229618,5.216181755065918,5.275670152702432,39478276
2005-04-18,5.134778022766113,5.18174223707812,5.119123404285379,5.134778022766113,41963333
2005-04-19,5.263145446777344,5.263145446777344,5.197395142310368,5.225573946758974,24593305
2005-04-20,5.328896999359131,5.372730788135423,5.2694089524923005,5.350813893747278,33000521
2005-04-21,5.300717830657959,5.30384896894975,5.2380986535193115,5.260015544952697,22326431
2005-04-22,5.338289260864258,5.3946465194858835,5.332027343239632,5.369598848987383,19351622
2005-04-26,5.288193702697754,5.375860545842302,5.272538729844236,5.369598628474835,17122926
